iter	MultiClass
0	1.529424143
1	1.296944623
2	1.134591849
3	1.015405012
4	0.9213037705
5	0.8591733325
6	0.7922419484
7	0.7344467467
8	0.681407224
9	0.6393001548
10	0.5975074121
11	0.562532411
12	0.530635425
13	0.5029430454
14	0.4784047306
15	0.4592327539
16	0.4405764102
17	0.4236012897
18	0.4096344231
19	0.3956510661
20	0.3835187963
21	0.3718059657
22	0.3622031883
23	0.35225106
24	0.3431527813
25	0.3376591654
26	0.3294219671
27	0.322318978
28	0.3165173289
29	0.3108253694
30	0.3049299872
31	0.2993303676
32	0.2950515998
33	0.2896815274
34	0.2845290563
35	0.28191021
36	0.2787111382
37	0.2745479951
38	0.2709454259
39	0.267249917
40	0.2642364787
41	0.2613878666
42	0.2589791529
43	0.2566273465
44	0.2529561723
45	0.2507737831
46	0.2483429302
47	0.2455204267
48	0.2430629229
49	0.239252535
50	0.2371221595
51	0.2357394825
52	0.2343651645
53	0.2325070187
54	0.2308339854
55	0.2294209331
56	0.2279825464
57	0.2264105215
58	0.2253916481
59	0.2237098026
60	0.2227564522
61	0.2216570457
62	0.220036607
63	0.2192487596
64	0.2184811395
65	0.2170149414
66	0.2151039636
67	0.2142476139
68	0.2132847659
69	0.2121598485
70	0.211534436
71	0.2104629428
72	0.2092730837
73	0.2082947801
74	0.2069397318
75	0.2060711687
76	0.2052359156
77	0.2032270307
78	0.2026328687
79	0.2017659164
80	0.2005979243
81	0.1992861361
82	0.1988175311
83	0.1980095425
84	0.1972815704
85	0.1963799877
86	0.1948497702
87	0.1938400198
88	0.1926137607
89	0.1922560444
90	0.1919255051
91	0.1914637029
92	0.1903185105
93	0.1893181974
94	0.1888623935
95	0.1877071383
96	0.186837429
97	0.1862645286
98	0.1855902031
99	0.1851349941
