iter	Passed	Remaining
0	489	48469
1	890	43611
2	1369	44284
3	1704	40901
4	2069	39322
5	2482	38885
6	2860	38003
7	3245	37318
8	3646	36869
9	4146	37317
10	4565	36940
11	4934	36189
12	5462	36555
13	5906	36283
14	6336	35905
15	6793	35665
16	7244	35372
17	7669	34939
18	8261	35221
19	8703	34812
20	9239	34758
21	9759	34601
22	10235	34267
23	10640	33694
24	11086	33260
25	11460	32618
26	11954	32320
27	12429	31960
28	12817	31380
29	13229	30869
30	13674	30436
31	14167	30106
32	14629	29702
33	15113	29338
34	15696	29150
35	16089	28602
36	16601	28267
37	17130	27949
38	17580	27498
39	18102	27153
40	18513	26641
41	18847	26027
42	19242	25507
43	19675	25041
44	20112	24582
45	20444	24000
46	20858	23520
47	21426	23212
48	22020	22919
49	22652	22652
50	23196	22286
51	23766	21938
52	24337	21581
53	24867	21183
54	25488	20853
55	25984	20416
56	26596	20064
57	27076	19606
58	27382	19028
59	27739	18493
60	28216	18039
61	28600	17529
62	29168	17130
63	29659	16683
64	30162	16241
65	30648	15788
66	31177	15356
67	31557	14850
68	32091	14417
69	32503	13930
70	32851	13418
71	33205	12913
72	33800	12501
73	34198	12015
74	34732	11577
75	35182	11110
76	35620	10639
77	36025	10160
78	36412	9679
79	36837	9209
80	37291	8747
81	37706	8276
82	38041	7791
83	38410	7316
84	38900	6864
85	39259	6391
86	39789	5945
87	40235	5486
88	40666	5026
89	41011	4556
90	41422	4096
91	41925	3645
92	42445	3194
93	42990	2744
94	43453	2287
95	44024	1834
96	44432	1374
97	44841	915
98	45172	456
99	45556	0
