iter	MultiClass
0	1.519029792
1	1.28663246
2	1.130072971
3	1.011108608
4	0.9135597526
5	0.8358433691
6	0.7688074152
7	0.7102904084
8	0.6650584364
9	0.6201574858
10	0.5915877131
11	0.5560737051
12	0.530049087
13	0.5012357098
14	0.4772761214
15	0.4562402478
16	0.4372073146
17	0.420175431
18	0.4058048727
19	0.3934675331
20	0.3822064479
21	0.3697205329
22	0.3583629857
23	0.3490455015
24	0.341261936
25	0.3351611694
26	0.3281039541
27	0.3216836369
28	0.3151855886
29	0.3082126703
30	0.3037690281
31	0.297787466
32	0.2935445749
33	0.2901206746
34	0.2867876458
35	0.2827688885
36	0.2803499324
37	0.2768546498
38	0.2726680842
39	0.2706289908
40	0.2672295508
41	0.2643498384
42	0.2593012696
43	0.2576680832
44	0.2555929015
45	0.2534618981
46	0.2518874248
47	0.2502736528
48	0.2488204375
49	0.2445466753
50	0.2424735144
51	0.2410692619
52	0.2384114869
53	0.2374817585
54	0.2358418548
55	0.2346185978
56	0.2328602145
57	0.2317819704
58	0.2303964809
59	0.2289717826
60	0.2269842679
61	0.2250484546
62	0.2240357403
63	0.2227278605
64	0.2197525542
65	0.2183846934
66	0.2170198689
67	0.21587853
68	0.215234856
69	0.2141991166
70	0.213595853
71	0.2124666361
72	0.2118911723
73	0.2107184325
74	0.2100510527
75	0.2091927456
76	0.2079005454
77	0.2074377976
78	0.2068226782
79	0.2056756416
80	0.2048531556
81	0.2037956078
82	0.2022022953
83	0.2017648468
84	0.201343031
85	0.2004193772
86	0.1992609817
87	0.1989627058
88	0.1981116861
89	0.1972344328
90	0.1964930112
91	0.1955046414
92	0.1943632166
93	0.1935776179
94	0.1928360437
95	0.1917404754
96	0.1911122794
97	0.1905967528
98	0.1901362749
99	0.1893974635
