iter	Passed	Remaining
0	560	55506
1	1057	51802
2	1573	50870
3	2088	50123
4	2524	47963
5	2955	46301
6	3356	44595
7	3823	43968
8	4317	43657
9	4860	43747
10	5274	42676
11	5653	41459
12	6054	40518
13	6504	39955
14	7006	39702
15	7325	38459
16	7708	37637
17	8187	37296
18	8748	37295
19	9209	36836
20	9688	36446
21	10060	35669
22	10428	34911
23	10812	34238
24	11237	33713
25	11674	33226
26	12062	32614
27	12535	32234
28	13097	32065
29	13628	31799
30	14205	31619
31	14913	31690
32	15549	31569
33	16016	31089
34	16388	30435
35	16789	29848
36	17236	29348
37	17701	28881
38	18155	28397
39	18520	27781
40	19082	27459
41	19572	27028
42	19963	26463
43	20299	25835
44	20681	25276
45	21071	24736
46	21435	24172
47	21797	23614
48	22141	23045
49	22597	22597
50	22942	22042
51	23275	21484
52	23747	21058
53	24109	20537
54	24521	20063
55	24900	19564
56	25287	19076
57	25685	18599
58	26030	18088
59	26380	17587
60	26844	17162
61	27581	16904
62	27962	16422
63	28342	15942
64	28781	15497
65	29177	15030
66	29577	14568
67	29975	14106
68	30305	13615
69	30625	13125
70	30911	12625
71	31295	12170
72	31754	11744
73	32251	11331
74	32610	10870
75	33056	10438
76	33407	9978
77	33744	9517
78	34049	9051
79	34428	8607
80	34749	8151
81	35074	7699
82	35578	7287
83	35949	6847
84	36247	6396
85	36662	5968
86	37149	5551
87	37476	5110
88	37905	4684
89	38210	4245
90	38544	3812
91	38891	3381
92	39314	2959
93	39671	2532
94	40094	2110
95	40555	1689
96	40888	1264
97	41255	841
98	41592	420
99	41968	0
